Месторождение,Скважина,"Интервал отбора керна, м (Кровля)","Интервал отбора керна, м (Подошва)","Интервал отбора керна, м (после привязки) (Кровля)","Интервал отбора керна, м (после привязки) (Подошва)",Фактический вынос (м),Фактический вынос (%),Стратиграфическая единица,Слой (Кровля),Слой (Подошва),Слой (Толщина),Классификация (Порода),Классификация (Карбонатность),Классификация (Разрушенность),Классификация (Насыщение),Полное описание (старый формат),"Профильные методы, среднее значение по слою (Общая радио активность, API)","Профильные методы, среднее значение по слою (Плотность, г/см3)","Профильные методы, среднее значение по слою (Проницаемость, мД)"
1.0,2.0,1957.1,1963.1,1958.3,1964.3,5.93,0.9883333333333334,НП\2-3,0.0,1.45,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные,"Песчаник светло-серый с коричневатым оттенком, от средне-мелкозернистого до мелкозернистого, среднесортированный, крепкий, с запахом УВ. По всему слою наблюдаются частые прослои алевролита серого крупнозернистого, с глинистым цементом, толщиной от 1 см до 3 см, и, углисто-слюдистого материала. Слоистость косая, пологонаклонная, линзовидно-волнистая, осложнена текстурами взмучивания и оползания. В конце слоя отмечаются ходы роющих организмов. Контакт с нижележащим слоем не четкий.",65.92171964285714,2.4122772142857145,2.0791481481481484
1.0,2.0,1957.1,1963.1,1958.3,1964.3,5.93,0.9883333333333334,НП\2-3,1.45,3.54,2.09,алевролит,не карбонатный,не разрушен,не опред.,"Алевролит серый от мелко-крупнозернистого до мелкозернистого, крепкий, хорошо сцементированный, с частыми прослоями и линзами песчаника светло-серого, местами желтоватого, мелкозернистого, в котором в свою очередь наблюдаются частые волнистые тонкие слойки углисто-слюдистого материала. Желтоватый песчаник светится в УФ-свете. Толщина прослоев в единичном случае до 10 см. Слоистость довольно часто нарушена биотурбацией (Thalassinoides, Teichichnus, Palaeophycus, Zoophycos). Участками отмечается высокая динамика с оползневыми нарушениями слойков и микротектоника, ориентированная  большей частью под 45 градусов к плоскости напластования. Контакт четкий.",78.73452195238094,2.4861752380952384,0.4906315789473685
1.0,2.0,1957.1,1963.1,1958.3,1964.3,5.93,0.9883333333333334,НП\2-3,3.54,5.85,2.31,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый алевритистый до мелкозернистого (зернистость увеличивается к концу слоя), среднесортированный, крепкий, хорошо сцементированный, с запахом УВ и со свечением в УФ-свете. На глубине 3,91-4,46 м от начала интервала отмечаются крупные оползневые прослои алевролита серого мелко-крупнозернистого до мелкозернистого, описанного выше. Алевролит в свою очередь с тонкими прослоями и линзами светло-серого мелкозернистого песчаника, участками с обилием крупного углистого детрита. Слоистость нарушена как оползанием, так и биотурбацией. Далее на глубине 4,46-4,69 м песчаник с частыми тонкими волнистыми и пологонаклонными слойками крупного углистого детрита. Ближе к концу слоя (4,94-5,11, с 5,58 и до конца интервала) отмечаются интракласты алевролита серого мелко-крупнозернистого до мелкозернистого. Обломки разноориентированные, большей частью уплощенные, деформированные, размером от 0,2-0,3 см до 3-4 см в длину, ширина меняется в аналогичных диапазонах. Также встречаются интракласты с внутреней слоеватостью, обусловленной алевролитом светло-серым. Контакт четкий.",66.10536595652174,2.441882608695652,22.843947368421055
1.0,2.0,1957.1,1963.1,1958.3,1964.3,5.93,0.9883333333333334,НП\2-3,5.85,5.93,0.08,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Тонкое неравномерное переслаивание алевролита серого мелко-крупнозернистого до мелкозернистого и песчаника мелкозернистого и мелко-среднезернистого (линзы и слойки песчаника имеет свечение в УФ-свете). Слоистость волнистая и пологонаклонная, интенсивно биотурбированная. Между прослоями изредка видны тонкие линзы углисто-слюдистого материала.",64.195236,2.443174,38.45
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,0.0,1.26,1.26,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелко-среднезернистый до мелкозернистого (зернистость уменьшается к концу слоя), крепкий, хорошо сцементированный, среднесортированный. На свежем сколе с запахом УВ и в УФ-свете отмечается свечение. Слоистость пологонаклонная и мелкая косая, в основном подчеркнута углистым детритом. На глубине 0,1-0,24 и 0,74-0,78 м от начала интервала отмечаются интракласты алевролита серого мелкозернистого, обломки в основном горизонтально ориентированный, единично косоориентированы, размером от 1-2 мм до  1,5 см, местами деформированные. На глубине 0,27-0,34 м слоистость нарушена оползанием. Контакт четкий.",60.73426225,2.458811666666667,22.261125
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,1.26,1.83,0.57,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Неравномерное переслаивание алевролита серого мелкозернистого до аргиллита алевритового и песчаника мелко-среднезернистого. Слоистость косая , местами осложнена оползанием и взмучиванием осадка. Границы прослоев четкие, участками с антидюнами. Толщина прослоев от 1 мм до 2-3 см. По слою отмечаются редкие ходы илоедов. Песчаник светится в УФ-свете, а на свежем сколе отмечается запах УВ. Контакт четкий.",78.9611245,2.5588245,3.415
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,1.83,2.13,0.3,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый с примесью среднезернистого, среднесортированный, крепкий, хорошо сцементированный, на свежем сколе со слабым запахом УВ, светится в УФ-свете. Слоистость ритмичная косая, слойки тонкие, подчеркнуты углистым детритом. Контакт четкий.",62.998703,2.4342953333333335,13.753
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,2.13,2.4,0.27,алевролит,не карбонатный,не разрушен,не опред.,"Алевролит серый мелко-крупнозернистый до мелкозернистого, крепкий, с частыми тонкими косыми слойками песчаника светло-серого мелкозернистого и алевролита светло-серого крупнозернистого. Слоистость участками нарушена оползанием. Отмечаются текстуры проседания. Контакт постепенный.",86.526653,2.596651,1.0956666666666668
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,2.4,2.73,0.33,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый с примесью среднезернистого, среднесортированный, крепкий, хорошо сцементированный, на свежем сколе со слабым запахом УВ, светится в УФ-свете. Слоистость ритмичная косая, слойки тонкие, подчеркнуты углистым детритом. Контакт четкий.",69.50805125,2.4844705,4.976285714285714
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,2.73,3.35,0.62,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый, крепкий, хорошо сцементированный, среднесортированный, светится в УФ-свете, на свежем сколе отмечается сильный запах УВ. Отмечается высокая динамика среды, линзы и слойки представлены алевролитом светло-серым крупнозернистым (до песчаника мелкозернистого) и углисто-слюдистым материалом. Весь слой изрезан микротектоникой (большей частью под 45 градусов к плоскости наслоения), создается эффектом блочной текстуры. На глубине 2,86-2,95 м от начала интервала наблюдаются косые прослои и косоориентированные интракласты алевролита серого мелкозернистого глинистого. Обломки уплощенные, частично деформированные, с рваными краями. Контакт четкий.",61.02178933333334,2.497128,5.871818181818182
